"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","Phase (days)","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77743","2017-03-26 04:32:02.00","2457838.688912","","Peak-light","ESO-NTT","EFOSC2-NTT","UNKNOWN","Priscila J. Pessi / PESSTO pipeline","","Y","","","2017cfo_2017-03-26_04-32-02.082_ESO-NTT_EFOSC2-NTT_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-03-26_04-32-02.082_ESO-NTT_EFOSC2-NTT_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","300.0017","0.0002778","","2.068213","","","","","3634.8928222656","9226.4209337235","5.5088946910915","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:43:05"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77750","2017-03-27 11:46:49.00","2457839.9908449","","Peak-light","FTS","FLOYDS-S","LCO","Griffin Hosseinzadeh","","Y","","","2017cfo_2017-03-27_11-46-49.027_FTS_FLOYDS-S_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-03-27_11-46-49.027_FTS_FLOYDS-S_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","N/A","","1.979719","","red/blu","","","3299.5148925781","9999.6378381252","1.7380344865232","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:58:58"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77749","2017-03-31 11:30:22.00","2457843.9794213","","Peak-light","FTS","FLOYDS-S","LCO","Griffin Hosseinzadeh","","Y","","","2017cfo_2017-03-31_11-30-22.485_FTS_FLOYDS-S_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-03-31_11-30-22.485_FTS_FLOYDS-S_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","N/A","","1.979967","","red/blu","","","3800.3435058594","10000.696094513","1.7372800752742","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:58:58"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77748","2017-04-04 07:47:43.00","2457847.8248032","","Peak-light","FTN","FLOYDS-N","LCO","Griffin Hosseinzadeh","","Y","","","2017cfo_2017-04-04_07-47-43.252_FTN_FLOYDS-N_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-04-04_07-47-43.252_FTN_FLOYDS-N_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","N/A","","1.015764","","red/blu","","","3299.6809082031","9999.619310379","1.7406958696222","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:58:58"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77747","2017-04-12 10:45:00.00","2457855.9479167","","Peak-light","FTS","FLOYDS-S","LCO","Griffin Hosseinzadeh","","Y","","","2017cfo_2017-04-12_10-45-00.008_FTS_FLOYDS-S_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-04-12_10-45-00.008_FTS_FLOYDS-S_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","N/A","","1.979441","","red","","","5000","8700.0000858307","3.5137702619475","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:58:58"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77742","2017-04-16 02:34:26.00","2457859.6072454","","Peak-light","ESO-NTT","EFOSC2-NTT","UNKNOWN","Priscila J. Pessi / PESSTO pipeline","","Y","","","2017cfo_2017-04-16_02-34-26.234_ESO-NTT_EFOSC2-NTT_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-04-16_02-34-26.234_ESO-NTT_EFOSC2-NTT_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1800.0027","0.0002778","","1.966514","","","","","3634.6694335938","9225.6182966232","5.5083240029847","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:43:05"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77746","2017-04-16 10:33:15.00","2457859.9397569","","Peak-light","FTS","FLOYDS-S","LCO","Griffin Hosseinzadeh","","Y","","","2017cfo_2017-04-16_10-33-15.047_FTS_FLOYDS-S_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-04-16_10-33-15.047_FTS_FLOYDS-S_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","N/A","","1.978914","","red/blu","","","3849.8061523437","9300.2860412598","1.7374816349748","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:58:58"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77745","2017-04-27 08:56:05.00","2457870.8722801","","Peak-light","FTN","FLOYDS-N","LCO","Griffin Hosseinzadeh","","Y","","","2017cfo_2017-04-27_08-56-05.065_FTN_FLOYDS-N_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-04-27_08-56-05.065_FTN_FLOYDS-N_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","N/A","","1.28676","","red/blu","","","3250.140625","10000.145724773","1.7410381995805","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:58:58"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77741","2017-04-28 02:24:27.00","2457871.6003125","","Peak-light","ESO-NTT","EFOSC2-NTT","UNKNOWN","Priscila J. Pessi / PESSTO pipeline","","Y","","","2017cfo_2017-04-28_02-24-27.038_ESO-NTT_EFOSC2-NTT_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-04-28_02-24-27.038_ESO-NTT_EFOSC2-NTT_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","2700.0017","0.0002778","","2.211154","","","","","3634.9091796875","9225.7637577057","5.508231111348","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:43:05"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77744","2017-05-06 08:39:32.00","2457879.860787","","Peak-light","FTN","FLOYDS-N","LCO","Griffin Hosseinzadeh","","Y","","","2017cfo_2017-05-06_08-39-32.981_FTN_FLOYDS-N_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-05-06_08-39-32.981_FTN_FLOYDS-N_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","3600","N/A","","1.371478","","red","","","4800","9300.0000171661","3.5074045340344","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:58:58"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77739","2017-05-31 23:25:25.00","2457905.4759838","","Peak-light","ESO-NTT","EFOSC2-NTT","UNKNOWN","Priscila J. Pessi / PESSTO pipeline","","Y","","","2017cfo_2017-05-31_23-25-25.391_ESO-NTT_EFOSC2-NTT_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-05-31_23-25-25.391_ESO-NTT_EFOSC2-NTT_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","2700.0017","0.0002778","","1.964174","","","","","3635.7770996094","9227.2887716293","5.508878494601","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:33:44"
"7472","SN 2017cfo","Gaia17azt, ATLAS17cpj","159.553852","28.117238","SN","0.042","77740","2017-06-01 00:17:35.00","2457905.5122106","","Peak-light","ESO-NTT","EFOSC2-NTT","UNKNOWN","Priscila J. Pessi / PESSTO pipeline","","Y","","","2017cfo_2017-06-01_00-17-35.309_ESO-NTT_EFOSC2-NTT_None.ascii","https://www.wiserep.org/system/files/uploaded/general/2017cfo_2017-06-01_00-17-35.309_ESO-NTT_EFOSC2-NTT_None.fits","Object","Low","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","2700.0029","0.0002778","","2.266055","","","","","3634.7770996094","9226.2887716293","5.508878494601","","2023MNRAS.523.5315P","","Dr Priscila Jael Pessi","2023-07-21 07:43:05"